,month,cpi
250,1998.11,-1.2000000000000028
249,1998.12,-1.0
259,1998.2,-0.09999999999999432
258,1998.3,0.7000000000000028
257,1998.4,-0.29999999999999716
256,1998.5,-1.0
255,1998.6,-1.2999999999999972
254,1998.7,-1.4000000000000057
253,1998.8,-1.4000000000000057
252,1998.9,-1.5
248,1999.1,-1.2000000000000028
239,1999.10,-0.5999999999999943
238,1999.11,-0.9000000000000057
237,1999.12,-1.0
247,1999.2,-1.2999999999999972
246,1999.3,-1.7999999999999972
245,1999.4,-2.200000000000003
244,1999.5,-2.200000000000003
243,1999.6,-2.0999999999999943
242,1999.7,-1.4000000000000057
241,1999.8,-1.2999999999999972
240,1999.9,-0.7999999999999972
236,2000.1,-0.20000000000000284
227,2000.10,0.0
226,2000.11,1.2999999999999972
225,2000.12,1.5
235,2000.2,0.7000000000000028
234,2000.3,-0.20000000000000284
233,2000.4,-0.29999999999999716
232,2000.5,0.09999999999999432
231,2000.6,0.5
230,2000.7,0.5
229,2000.8,0.29999999999999716
228,2000.9,0.0
224,2001.1,1.2000000000000028
215,2001.10,0.20000000000000284
214,2001.11,-0.29999999999999716
213,2001.12,-0.29999999999999716
223,2001.2,0.0
222,2001.3,0.7999999999999972
221,2001.4,1.5999999999999943
220,2001.5,1.7000000000000028
219,2001.6,1.4000000000000057
218,2001.7,1.5
217,2001.8,1.0
216,2001.9,-0.09999999999999432
212,2002.1,-1.0
203,2002.10,-0.7999999999999972
202,2002.11,-0.7000000000000028
201,2002.12,-0.4000000000000057
211,2002.2,0.0
210,2002.3,-0.7999999999999972
209,2002.4,-1.2999999999999972
208,2002.5,-1.0999999999999943
207,2002.6,-0.7999999999999972
206,2002.7,-0.9000000000000057
205,2002.8,-0.7000000000000028
204,2002.9,-0.7000000000000028
200,2003.1,0.4000000000000057
191,2003.10,1.7999999999999972
190,2003.11,3.0
189,2003.12,3.200000000000003
199,2003.2,0.20000000000000284
198,2003.3,0.9000000000000057
197,2003.4,1.0
196,2003.5,0.7000000000000028
195,2003.6,0.29999999999999716
194,2003.7,0.5
193,2003.8,0.9000000000000057
192,2003.9,1.0999999999999943
188,2004.1,3.200000000000003
179,2004.10,4.299999999999997
178,2004.11,2.799999999999997
177,2004.12,2.4000000000000057
